IIN	Type	Name	Length
371636	Amex	AMEX	15
371637	Amex	AMEX	15
371638	Amex	AMEX	15
371639	Amex	AMEX	15
371640	Amex	AMEX	15
371641	Amex	AMEX	15
371642	Amex	AMEX	15
371643	Amex	AMEX	15
371644	Amex	AMEX	15
371645	Amex	AMEX	15
371646	Amex	AMEX	15
371647	Amex	AMEX	15
371648	Amex	AMEX	15
371649	Amex	AMEX	15
371650	Amex	AMEX	15
371651	Amex	AMEX	15
371652	Amex	AMEX	15
371653	Amex	AMEX	15
371654	Amex	AMEX	15
371655	Amex	AMEX	15
371656	Amex	AMEX	15
371657	Amex	AMEX	15
371658	Amex	AMEX	15
371659	Amex	AMEX	15
371660	Amex	AMEX	15
371661	Amex	AMEX	15
371662	Amex	AMEX	15
371663	Amex	AMEX	15
371664	Amex	AMEX	15
371665	Amex	AMEX	15
371666	Amex	AMEX	15
371667	Amex	AMEX	15
371668	Amex	AMEX	15
371669	Amex	AMEX	15
371670	Amex	AMEX	15
371671	Amex	AMEX	15
371672	Amex	AMEX	15
371673	Amex	AMEX	15
371674	Amex	AMEX	15
371675	Amex	AMEX	15
371676	Amex	AMEX	15
371677	Amex	AMEX	15
371678	Amex	AMEX	15
371679	Amex	AMEX	15
371680	Amex	AMEX	15
371681	Amex	AMEX	15
371682	Amex	AMEX	15
371683	Amex	AMEX	15
371684	Amex	AMEX	15
371685	Amex	AMEX	15
371686	Amex	AMEX	15
371687	Amex	AMEX	15
371688	Amex	AMEX	15
371689	Amex	AMEX	15
371690	Amex	AMEX	15
371691	Amex	AMEX	15
371692	Amex	AMEX	15
371693	Amex	AMEX	15
371694	Amex	AMEX	15
371695	Amex	AMEX	15
371696	Amex	AMEX	15
371697	Amex	AMEX	15
371698	Amex	AMEX	15
371699	Amex	AMEX	15
371700	Amex	AMEX	15
371701	Amex	AMEX	15
371702	Amex	AMEX	15
371703	Amex	AMEX	15
371704	Amex	AMEX	15
371705	Amex	AMEX	15
371706	Amex	AMEX	15
371707	Amex	AMEX	15
371708	Amex	AMEX	15
371709	Amex	AMEX	15
371710	Amex	AMEX	15
371711	Amex	AMEX	15
371712	Amex	AMEX	15
371713	Amex	AMEX	15
371714	Amex	AMEX	15
371715	Amex	AMEX	15
371716	Amex	AMEX	15
371717	Amex	AMEX	15
371718	Amex	AMEX	15
371719	Amex	AMEX	15
371720	Amex	AMEX	15
371721	Amex	AMEX	15
371722	Amex	AMEX	15
371723	Amex	AMEX	15
